Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
South Africa,29,16755133,21,14
South Korea,96,49641439,72,27
South Sudan,0.9,100621,0.7,0.3
Spain,148,69642236,80,77
Sri Lanka,116,25339522,64,52
Sudan,3.5,1499982,1.5,1.4
Suriname,67,387552,38,28
Sweden,132,13569363,69,63
Switzerland,119,10230147,63,55
Syria,3.1,533949,1.7,1.5
São Tomé and Príncipe,34,73223,26,8.5
Taiwan,58,13856466,50,8.2
Tajikistan,42,3872421,25,17
Tanzania,0.6,350000,0.6,0.6
Thailand,66,46023016,42,23
Timor-Leste,52,675891,33,19
Togo,10,832822,5.5,4.8
Tonga,70,73603,44,26
Trinidad and Tobago,74,1037412,40,34
Tunisia,63,7342484,41,29
Turkey,128,106893726,64,52
U.A.E.,202,19713423,94,83
U.K.,140,93274224,73,67
Uganda,4.7,2058553,3.7,0.9
Ukraine,27,11979985,15,12
United States,117,387821704,64,55
Uruguay,177,6127982,79,74
Uzbekistan,55,18526941,29,11
Vanuatu,19,57184,14,4.8
Venezuela,39,11094206,24,15
Vietnam,37,35675840,30,7.2
West Bank & Gaza,43,2001407,29,14
Yemen,1.1,322934,1.1,0.1
Zambia,3.8,670361,1.7,1.6
Zimbabwe,35,5166508,21,15
