Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Laos,61,4402770,39,27
Latvia,85,1635365,48,44
Lebanon,42,2893789,23,19
Lesotho,16,332954,12,11
Liberia,2,113680,2.1,0.6
Libya,23,1586055,20,3
Lithuania,115,3214538,63,58
Luxembourg,127,784482,67,64
Macau,106,667489,57,49
Madagascar,1,381633,0.7,0.7
Mainland China,158,2208921000,79,75
Malawi,6,1047408,4.3,2.7
Malaysia,136,43367580,73,63
Maldives,137,729253,74,64
Mali,2,405053,1.6,1.2
Malta,163,818593,84,84
Mauritania,25,1118158,6.9,13
Mauritius,129,1633952,67,62
Mexico,79,100516964,50,35
Moldova,52,1392707,21,29
Mongolia,136,4380175,70,66
Montenegro,73,452830,39,34
Morocco,113,41099861,61,52
Mozambique,12,3644423,6.3,5.7
Myanmar,20,10935671,13,6.9
Namibia,16,407502,10,6.4
Nepal,47,13452743,25,22
Netherlands,136,23540559,74,67
New Caledonia,78,223735,49,29
New Zealand,104,5132627,66,38
Nicaragua,12,788502,7.7,4.4
Niger,2,512294,1.7,0.5
Nigeria,3,6552979,2.3,0.9
North Macedonia,73,1510665,38,35
Norway,145,7769227,77,68
Oman,128,6374064,76,52
Pakistan,37,80508569,27,13
Panama,121,5138545,69,52
Papua New Guinea,2,165070,1.4,0.5
Paraguay,64,4488153,37,26
Peru,78,25196478,47,31
Philippines,42,45147577,23,22
Poland,98,37212955,52,51
Portugal,155,15956183,87,84
Qatar,166,4708867,83,78
Republic of the Congo,6,329905,4,2.1
Romania,52,10114580,29,28
Russia,62,90015699,33,29
Rwanda,30,3760170,17,13
Saint Lucia,42,76712,25,17
Saint Vincent and the Grenadines,31,33825,18,12
Samoa,87,172316,58,29
Saudi Arabia,123,41990202,68,54
Senegal,11,1784832,7.5,3.5
Serbia,93,6456710,44,42
Sierra Leone,3,232375,2.4,0.5
Singapore,164,9353320,82,79
Slovakia,86,4700168,45,41
Slovenia,102,2123093,54,48
Solomon Islands,15,97744,11,3.5
Somalia,3,477075,1.6,1.5
South Africa,29,16999722,21,15
South Korea,121,62733685,75,49
South Sudan,1,103751,0.7,0.3
Spain,149,70022100,80,78
Sri Lanka,120,26171815,66,54
Sudan,4,1499982,1.5,1.4
Suriname,68,397606,39,29
Sweden,133,13730445,69,64
Switzerland,121,10383501,64,58
Syria,3,533949,1.7,1.5
São Tomé and Príncipe,38,82679,28,10
Taiwan,65,15441421,55,10
Tajikistan,42,3872421,25,17
Tanzania,1,350000,0.6,0.6
Thailand,66,46023016,42,23
Timor-Leste,55,711879,34,21
Togo,12,997632,7.4,5
Tonga,70,73603,44,26
Trinidad and Tobago,76,1066324,41,35
Tunisia,69,8027352,43,33
Turkey,130,108734111,64,53
Turkmenistan,1,41993,0.5,0.2
U.A.E.,205,20018034,95,84
U.K.,140,93630859,73,67
Uganda,5,2058553,3.7,0.9
Ukraine,28,12617990,16,13
United States,118,392909995,65,56
Uruguay,180,6239394,79,74
Uzbekistan,59,19969345,29,13
Vanuatu,19,57184,14,4.8
Venezuela,55,15714857,34,21
Vietnam,43,41153041,33,9.3
West Bank & Gaza,45,2129856,30,16
Yemen,1,356173,1.1,0.2
Zambia,4,720260,1.7,2.2
Zimbabwe,36,5320565,21,15
China,157,2190792000,79,73
United States of America,,,66,57
